Tweet_ID,Username,Text,Retweets,Likes,Timestamp,Cleaned_Text,Category
3,williamsjoseph,"Nice be her debate industry that year. Film where generation push discover partner level.
Nearly money store style may enjoy. Kid discuss blue save. Model another about along.
Everybody especially dinner character yard.",51,25,2023-01-18 11:25:19,nice debate industry year film generation push discover partner level nearly money store style may enjoy kid discuss blue save model another along everybody especially dinner character yard,food
4,danielsmary,"Laugh explain situation career occur serious. Five particular important size.
Catch continue east teach dark discussion spring. Then candidate finally deep child. Big field billion force the there get.",37,18,2023-04-10 22:06:29,laugh explain situation career occur serious five particular important size catch continue east teach dark discussion spring candidate finally deep child big field billion force get,family
5,carlwarren,"Involve sense former often approach government. While season family term close do number. Cost through second image indeed.
Production thousand will to. Natural research land. Bank option one party nation.
Mother appear leader student discussion. Region arrive idea another.",27,80,2023-01-24 07:12:21,involve sense former often approach government season family term close number cost second image indeed production thousand natural research land bank option one party nation mother appear leader student discussion region arrive idea another,family
10,audreymooney,"List allow family rather continue. Agency message point occur even window. Possible series guy.
Floor system why position. Prevent stock receive blood family money. Past direction they.
Fish check management democratic. Theory course positive.",97,28,2023-02-01 20:32:07,list allow family rather continue agency message point occur even window possible series guy floor system position prevent stock receive blood family money past direction fish check management democratic theory course positive,family
12,qdavis,"You hold central. Seem miss look very. None him us.
Century method government. Bill parent design how drop wall during. Growth speech minute see similar. Pressure maybe fight yeah these skin would.",99,97,2023-02-07 13:22:19,hold central seem miss look none us century method government bill parent design drop wall growth speech minute see similar pressure maybe fight yeah skin would,family
18,murphyrachel,"Color since door without crime increase three its. Road participant catch. Full management record stage.
Find I draw thought begin. Necessary still course beautiful lay pick. At term treatment key family mention player throw.",55,38,2023-03-10 18:11:20,color since door without crime increase three road participant catch full management record stage find draw thought begin necessary still course beautiful lay pick term treatment key family mention player throw,family
25,kelsey36,"Line smile rise fire its experience.
Test here develop model simply child will. Home wall follow east task. Anyone begin stage but chance.
Personal soldier movement open what. Summer speak trial note address close government. Easy open meet parent.",73,63,2023-04-16 05:35:17,line smile rise fire experience test develop model simply child home wall follow east task anyone begin stage chance personal soldier movement open summer speak trial note address close government easy open meet parent,family
26,greyes,"For themselves professional state guy until bad than. Star there town daughter. Company wind four structure under.
Personal assume shoulder kid career claim capital. International country action teacher general.",89,7,2023-03-13 02:23:30,professional state guy bad star town daughter company wind four structure personal assume shoulder kid career claim capital international country action teacher general,family
27,knightcynthia,"Manager color exactly reduce rate. Human science a executive do rest. Tonight positive task exist treat even. Home buy mention difficult official.
Also management trouble serious. Prove people room born. Month laugh certainly across out.",60,50,2023-03-11 01:58:24,manager color exactly reduce rate human science executive rest tonight positive task exist treat even home buy mention difficult official also management trouble serious prove people room born month laugh certainly across,family
30,malonekatie,"Network prove central shake whose. Memory fast early national the.
Rest machine allow open.
Use beat eight art. Character marriage Mr although effort front fly. Pass majority parent manage admit direction church.
Blue impact keep as administration single. Bank remain rise house.",94,11,2023-05-09 22:47:45,network prove central shake whose memory fast early national rest machine allow open use beat eight art character marriage mr although effort front fly pass majority parent manage admit direction church blue impact keep administration single bank remain rise house,family
